AS23456,UN,4Byte ASN Place Holder
AS45637,NZ,UNIFONENETWORKS-AS-AP UniFone New Zealand Ltd
AS24181,NZ,THELOOP TheLoop
AS56030,NZ,VOYAGERNET-AS-AP Voyager Internet Ltd.
AS37974,NZ,NATCOM-AS-NZ-AP National Communications Corporation Limited
AS24107,NZ,COMMARC-ASN-AP CommArc Consulting Ltd AS
AS38437,NZ,WIC-AS-NZ WIC NZ Ltd Dunedin-based ISP
AS9433,NZ,MASSEY-AS Massey University
AS38473,NZ,AGRESEARCH-AS Agricultural Research CRI, New Zealand
AS24466,NZ,HDNETNZ hd.net.nz
AS45946,NZ,AIRNZ-AS2-NZ Air New Zealand Limited
AS55785,NZ,MAXUM-AS-AP MAXUM DATA LIMITED
AS45138,NZ,CPIT-NZ-AS-AP Christchurch Polytechnic Institute
AS55872,NZ,BAYCITY-AS-AP BayCity Communications Limited
AS45267,NZ,LIGHTWIRE-AS-AP Lightwire LTD
AS58444,NZ,WETADIGITAL-AS-AP Weta Digital Ltd
AS9511,NZ,WILSONHORTON-AS-AP Wilson and Horton
AS18353,NZ,HDSVDCNZ-AS-AP Revera NZ Limited
AS17649,NZ,DMZGLOBAL-AP DMZGlobal Ltd
AS58908,CN,HOWTIMEFLY Howtimefly (BeiJing) Info tech Ltd.
AS45190,NZ,AIALNET-NZ International Terminal
AS45359,NZ,MEDIA-AS-AP MediaWorks NZ Limited
AS45280,NZ,NZTECHNOLOGY-AS-AP New Zealand Technology Group Limited,
AS38477,NZ,UNLEASH-AS-NZ Unleash
AS45177,NZ,LAYER2CO-AS-AP Layer2.co.nz
AS18015,NZ,FASTCOM-AS-AP Fastcom Limited
AS58610,NZ,TELNET-AS-AP Telnet Telecommunication Limited
AS23735,NZ,EOL-AS-AP Enternet Online Ltd
AS37999,NZ,TVNZ-AS-NZ Television New Zealand
AS23934,NZ,TURNSTONE-NZ-AS-AP Turnstone Technologies LTD NZ AS
AS10200,NZ,NETSMART-AP Web hosting provider and ISP connectivity.
AS55926,NZ,MIGHTYRIVERPOWER-AS-AP Mighty River Power
AS45230,NZ,UBERGROUP-AS-NZ UberGroup Limited
AS18203,NZ,FX-KAREN-AGGR-AS-AP FX Networks to KAREN Network
AS24544,HK,PANGNET-AS-AP Pang International Limited-AS number
AS55860,NZ,FOODSTUFFSSI-AS-AP Foodstuffs SI Ltd
AS17994,NZ,ASL-AS-AP Appserv Limited
AS45463,NZ,NZBUSNET-AS-AP Public-facing network
AS3561,US,SAVVIS-AS SAVVIS-AS3561
AS26163,US,DATAGRAM - Datagram, Inc.
AS12196,US,ETSY - Etsy Inc.
AS33535,US,NYDN-33 - New York Daily News, L.P.
AS55561,NZ,TWO-TALK 2talk Global IP Network
AS38319,NZ,LINCOLN-UNIVERSITY-NZ Lincoln University, Canterbury, New Zealand
AS46489,US,JUSTINTV - Justin.tv, Inc.
AS22300,US,WIKIA - Wikia, Inc.
AS23005,US,SWITCH-COMMUNICATIONS - SWITCH Communications Group LLC
AS9834,NZ,TRADEME-AS-NZ Trade Me Limited
AS35825,GB,GUARDIAN-AS Guardian News and Media AS
AS36351,US,SOFTLAYER - SoftLayer Technologies Inc.
AS32985,US,KCG-INC - Knowledge Consulting Group Inc.
AS25577,GB,C4L-AS Connexions4London Ltd
AS34235,FR,ASPSERVEUR-AS ASPSERVEUR
AS13414,US,TWITTER-NETWORK - Twitter Inc.
