AS23456,UN,4Byte ASN Place Holder
AS12778,SI,NETSI Metaling d.o.o.
AS41334,FR,MANCHE-TELECOM-AS MANCHE TELECOM
AS36983,ZA,OTR-A
AS57087,DE,BORNET-GMBH BORNET GmbH
AS19870,US,CCSD - Cherry Creek School District
AS45841,IN,P4NETWORKS-IN 506/7, Balarma Building, Bandra Kurla Complex, Bandra (E). Mumbai - 400051
AS13802,BM,NRCASN - North Rock Communications Ltd.
AS819,CA,LARG-NET - LARG*net
AS11816,AW,SetarNet
AS23369,US,SCOE - Sonoma County Office of Education
AS24286,JP,WNI-AS Weathernews,Inc.
AS57026,RU,CHEB-AS CJSC _ER-Telecom Holding_
AS39578,RU,MAXIMA Ltd _Maxima_
AS9466,JP,UUNET-JP-AP UUNET Japan Limited
AS36529,US,AXXA-RACKCO - Rackco.com
AS38695,KR,BC-AS-KR bucheon university
AS35041,SE,NET-CRYSTONE-STHLM Crystone AB
AS47602,RO,PROFISOL-AS SC PROFISOL TELECOM SRL
AS56749,IR,ROSHANGARANERTEBATATRAYANEH Roshangaran Ertebatat Rayaneh - Broujerd
AS57507,IT,RENOVAZIO-AS Sokom S.r.l.
AS3254,UA,LNUA LN.UA Ltd.
AS21413,DE,ENVIA-TEL-AS envia Tel GmbH
AS13170,FI,KPO-AS Kaisanet Oy
AS6280,CA,SYNAPSE - Babillard Synapse Inc.
AS3596,MX,Universidad Autonoma Metropolitana
AS14376,US,SSF-12-6-198-0 - Sungard Securities Finance, Inc.
AS41671,UA,OMNILANCE-AS OMNILANCE LTD
AS54542,US,K-DATA01 - K-Data Systems, LLC
AS54188,US,HLIOP-ASN - HLI Operating Company, Inc.
AS28066,AR,COOP. MARIANO ACOSTA
AS36974,CI,AFNET-AS
AS22381,BR,Megatelecom Telecomunicacoes Ltda
AS43341,DE,MDLINK MDlink online service center GmbH
AS41114,RO,BLUETEL-AS CCC BLUE TELECOM GALATI SUCURSALA BUZAU
AS32417,US,ELONU-AS - Elon University
AS44373,FR,NETBOOSTER Netbooster SA
AS11085,US,PDI-HQ-INET - Premier Designs, Inc
AS26566,US,ARETTA - Aretta Communications, Inc.
AS28990,MD,MOLDDATA-AS MoldData
AS19149,US,TEAMTECH-DSM - TEAM Technologies LLC.
AS18964,US,AHSSSCI - Adventist Health Systems SSCI
AS19933,US,BUFFALOSTATE - Buffalo State College
AS8137,US,DISNEYONLINE-AS - Disney Online
AS310,US,DNIC-ASBLK-00306-00371 - DoD Network Information Center
AS16532,CA,ASB2B2C - B2B2C Inc
AS10021,JP,KVH KVH Co.,Ltd
AS15146,BS,CABLEBAHAMAS - Cable Bahamas
AS16340,PL,IS-ASN IS-NET Autonomous System
AS55193,US,NGL-EVANSTON-MAIN - THE NGL CONNECTION LLC
AS51090,AM,AM-TLD-AS _Internet Society_ Public Organisation
AS16624,CA,HYDRO-QUEBEC - Hydro Quebec
AS11980,US,BDO-SEIDMAN - BDO USA, LLP
AS1378,US,IBEL - Interbel Telephone Cooperative, Inc.
AS16130,LB,FiberLink Networks
AS9622,JP,KCT Kurashiki Cable TV
AS9584,HK,GENESIS-AP Diyixian.com Limited
AS56324,PL,LOGITUS Logitus Sp. z o.o.
AS28731,DE,WSELTD-AS WSE Limited, Juelich, Germany Internet-provider, Database, we
AS6784,HU,MOL Nyrt.
AS17598,KR,YBN-AS-KR YBN
AS7045,US,WEATHER - THE WEATHER CHANNEL
AS32121,CA,TUC-3-ARIN - TransAlta Utilities Corporation
AS42090,IE,RAPIDBB Rapid Broadband Ltd
AS1705,US,HPES - Hewlett-Packard Company
AS22635,US,US-MA-DEDHAM - AliMed, Inc.
AS34752,FR,DOCTISSIMO LAGARDERE ACTIVE DIGITAL SAS
AS34797,GE,EGRISI-AS Egrisi JSC.
AS14217,US,DATAFRAMELO - Dataframe Logistics, Inc.
AS36279,US,MISERI-COLLEGE-1 - College Misericordia
AS36908,TZ,VTL-ASN
AS39237,RS,ITS-AS ISP-in-kosova
AS6498,US,WEST-NGN - West Corporation
AS8057,US,VISIONNET - Vision Net, Inc.
AS54288,US,SOLIDTOOLSINC - SolidTools Technology, Inc.
AS15958,RS,TELENOR_DOO_AS Telenordoo-NET
AS25424,CZ,INEXT-CZ INTERNEXT 2000 s.r.o.
AS34146,CH,ISP-SOLUTIONS-AS ISP Solutions SA
AS37918,JP,ECL-INET Nippon Telegraph and Telephone Corporation
AS44972,GB,COBBETT Cobbett Hill Earth Station Limited
AS43348,UA,TATARINOVA-AS PE Tatarinova Alla Ivanovna
AS7650,HK,HKIED-AS-AP The Hong Kong Institute of Education
AS7668,JP,HTCN Hokuriku Telecommunication Network Co.
AS24232,SG,VIRTELA-AS-AP-3 Frankfurt, DL
AS16818,US,CORESYS - Core Services
AS24518,ID,AXIS-AS-ID PT. Axis Telekom Indonesia
AS9306,CN,CIECC-AS-AP China International Electronic Commerce Center
AS46736,US,GLAMMLA8000 - Glam Media, Inc.
AS8328,NL,SIENNAX SaaSplaza Nederland B.V.
AS15443,PL,Presspublica Sp.z.o.o.
AS22854,US,CATAWBA-COLLEGE - Catawba College
AS38493,BD,ROYALGREENINCBD-TRANSIT-AS-AP Royal Green Online Ltd. Internet Service Provider, Dhaka,
AS38381,CN,CNNIC-TRAVELSKY-AP Travelsky Technology Limited
AS9137,IT,ASN-UNO Uno Communications S.p.A.
AS23853,CN,CNNIC-DSNET-AP Shanghai Data Solution Co., Ltd.
AS41101,RU,OPTITELECOM-AS Opti-Telecom Limited
AS12480,DE,ASILK ILK Internet GmbH, Karlsruhe, Germany
AS23637,JP,BI-CDN-IX Bit-isle Co.,Ltd.
AS42418,DK,ASN-HOSTNORDIC Hostnordic A/S
AS18033,KR,CMBTGD-AS-KR CMB TAEGU DONGBU BROADCAST
AS9216,TW,PUNET-AP PUNET Taiwan
AS35115,PL,BESTGOPL-AS BESTGO.PL sp. z o.o.
AS32634,US,FULL-SERVICE-NETWORK - Full Service Computing Corp
AS40788,CA,START-CA - Start Communications
AS38456,AU,PACTEL-AS-AP Pacific Teleports.
AS25374,BG,ESCOMBG-AS ESCOM Ltd. - Haskovo
AS15474,IS,RHNET SURIS/RHnet
AS16091,DE,SATEC SATEC AS
AS10000,JP,NCM Nagasaki Cable Media Inc.
AS38408,KR,GOEAY-AS-KR GYEONGGI PROVINCIAL ANYANG OFFICE OF EDUCATION
AS9956,KR,KONGJU-AS kongju national university
AS28643,BR,Wivox Sevi\195\167os de Comunica\195\167\195\163o Multim\195\173dia Ltda
AS50045,RU,MONNET-AS OJSC _Montazh_
AS9208,BE,WIN WIN Autonomous System
AS15011,US,JAGUAR-1 - Jaguar Communications
AS30764,CZ,PODA-AS PODA s.r.o.
AS12397,UA,OPTOCOM Optocom Ltd
AS16629,CL,CTC. CORP S.A. (TELEFONICA EMPRESAS)
AS18183,TW,NCREE National Center for Research on Earthquake Engineering
AS22593,US,BCBSNC-AS - Blue Cross and Blue Shield of North Carolina
AS6485,US,TDSC1-ASN - Track Data Corp
AS47613,KZ,INFO-CENTER Info-Centre Ltd.
AS14878,US,PIXIUS-AS - Pixius Communications, LLC
AS40583,US,COLUMBIAGORGE-ESD - Columbia Gorge Education Service District
AS5517,DE,CSL CSL Computer Service Langenbach GmbH AS
AS20914,CH,OPENOFFICE-AS Openoffice
AS16971,VI,CHOICE-COMM - Choice Communications, LLC
AS15723,AZ,AZERONLINE Azeronline Information Services
AS31441,IS,GR-AS Gagnaveita Reykjavikur ehf
AS41611,RO,BLUENET-AS BLUE INTERNET TELECOM SRL
AS42252,FI,LASIPALATSI-AS Lasipalatsi AS number
AS7582,MO,UMAC-AS-AP University of Macau
AS10420,MX,Banco de Mexico
AS17088,US,CURRENEX - Currenex, Inc.
AS1480,US,DNIC-AS-01480 - Headquarters, USAISC
AS6724,DE,STRATO STRATO AG
AS15499,DE,GECITS-EU Computacenter AG & Co. oHG
AS26254,US,568721-017489901135-1 - Mail2world INC.
AS29485,HR,AMISHR Amis Telekom d.o.o
AS11961,US,MIDRIVERS - Mid-Rivers Telephone Cooperative
AS34133,SE,NETIT-AS NetIT Internet Solutions in Sweden AB
AS27229,US,WEBHOST-ASN1 - Webhosting.Net, Inc.
AS5524,NL,BREEDBANDNEDERLAND Breedband Nederland B.V.
AS15348,CA,TUCOWS - Tucows.com Co.
AS29918,ZA,IMPOL-ASN
AS33970,GB,OPENHOSTING M247 Ltd
AS2846,SE,Lunds Universitet
AS44941,RU,ASTRAKHAN-DTV-AS ZAO Astrakhan Digital Television
AS21246,AL,IPKO-AS Ipko Telecommunications LLC
AS15244,US,ADDD2NET-COM-INC-DBA-LUNARPAGES - Lunar Pages
AS17513,JP,KIDS-NET Kids-way Corporation
AS50543,RU,SARATOV-AS CJSC _ER-Telecom Holding_
AS46262,US,RTASN - ResTech Services LLC
AS51669,RU,HCN-NET Home Computer Networks ltd.
AS9387,PK,AUGERE-PK AUGERE-Pakistan
AS15630,ES,UNED Universidad Nacional de Educacion a Distancia - UNED
AS11404,US,AS-VOBIZ - vanoppen.biz LLC
AS30705,US,TELIRIS - Teliris Inc.
AS13483,US,INFOR-AS13483 - INFOR GLOBAL SOLUTIONS (MICHIGAN), INC.
AS25636,CA,ONTL-2002 - ONTel, Inc.
AS13821,US,ACML - AllianceBernstein L.P.
AS48919,UA,UA-CITY-AS UACITY Ltd.
AS9823,AU,NCS-PEARSON-AS-AP Education Web Hosting
AS49242,PL,INTERNETUNION1 Internet Union Spolka Akcyjna
AS6263,US,NDIN - State of North Dakota
AS6711,HU,HUNGARNET-SZEGED University of Szeged
AS55497,SG,BLIZZARD-AP 16215 Alton Parkway
AS8399,FR,ORNIS-AS RISC GROUP IT SOLUTIONS S.A.
AS27960,AR,Coop. de Obras y Serv. Pub. Ltda. de Rio Tercero
AS14858,US,HISNET - Hanson Information Systems, Inc. / Family Net
AS50809,IT,ASN-DIGITELITALIA Digitel Italia S.p.A.
AS27611,US,AS-NATIVEHOSTING - Native Hosting, Inc.
AS5105,US,ATTIS-ASN5105 - AT&T Internet Services
AS2547,EU,BMENET-AS Budapest University of Technology and Economics
AS30237,US,CHANEYSYS - Chaney Systems, Inc.
AS44860,PL,RAFAKO-RACIBORZ-AS Fabryka Kotlow RAFAKO SA
AS31264,NO,STIM-COMPUTING-AS Stim Computing AS
AS39532,IS,LANDSBANKI-AS Landsbanki Islands hf.
AS776,EU,FR-INRIA-SOPHIA INRIA Sophia-Antipolis
AS17373,US,MCI-COV - MCI WorldCom
AS27204,US,NCW-AS - NewCore Wireless, LLC
AS57,US,UMN-REI-UC - University of Minnesota
AS35592,CZ,COOLHOUSING-AS COOLHOUSING Autonomous System
AS19230,US,NANOG - NANOG
AS7965,VE,Universidad Catolica Andres Bello
AS42540,FI,ATEA-AS Atea Finland Oy
AS52148,GB,RACKSRV RackSRV Communications Limited
AS13010,DE,MTS MTS Internet GmbH
AS39449,IE,FASTCOM-AS Fastcom Broadband Limited
AS34500,RU,CTSPI CTSPI Company
AS53177,BR,JG TELECOM LTDA
AS59703,RO,IDEAL-TRANS SC IDEAL TRANS INTERN SRL
AS29249,UA,SIGMA-AS Auditorska firma _Audit Consalting_ LLC
AS20313,US,SMSI - Smith Micro Software, Inc.
AS7718,AU,TRANSACT-SDN-AS TransACT Capital Communications Pty Limited
AS12223,US,AS-EQUIVOICE-COM - Equivoice LLC
AS38056,HK,GLOBECOMM-HK-AS Globecomm Network Services Corp Transit AS Internet
AS4833,ID,SPOTNET-AS-AP PT. Usaha Mediantara Intranet (ISP)
AS12309,IT,NOUVELLE-AS Autonomous system for Nouvelle Srl
AS33670,US,NOVASOUTHEASTERNAS - Nova University
AS340,US,DNIC-ASBLK-00306-00371 - DoD Network Information Center
AS44725,AZ,AZQTEL-AS AZQTEL
AS55330,AF,GCN-DCN-AS AFGHANTELECOM GOVERNMENT COMMUNICATION NETWORK
AS20193,US,SINEWAVE - SineWave Technologies, Inc.
AS40695,US,FHLB-OF - FHLBanks - Office of Finance
AS11326,US,ASN-EASTMAN-CHEMICAL - Eastman Chemical Company
AS10525,US,SIMON-SCHUSTER - Simon & Schuster
AS31224,RU,MF-UGSM-AS OJSC MegaFon
AS23990,KR,MIGUM-AS-KR MigumCableNetwork
AS30043,US,RBAND-AS30043 - Resort Broadband, LLC.
AS42030,BE,BRAZZAVILLE-AS _Global Broadband Solution_ societe de droit americain
AS10167,KR,HANVIT-AS HANVIT BANK
AS18705,CA,RIMBLACKBERRY - Research In Motion Limited
AS20413,US,CCIU-1 - Chester County Intermediate Unit
AS22873,CA,FNI - Fiber Networx Inc.
AS34692,CZ,FREEBONE-CZ Freebone s.r.o.
AS8331,RU,RINET-AS Cronyx Plus Ltd
AS27141,US,DNIC-ASBLK-27032-27159 - DoD Network Information Center
AS17809,TW,MONAD-TW-AP Monad Digitnamic Corp.
AS24432,BD,AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider,Gulshan-1,Dhaka-1212
AS32629,US,CITY-OF-CHARLOTTE-ASN - City of Charlotte
AS56235,ID,KOMI-AS-ID PT KOMATSU INDONESIA
AS48288,CH,YPLAY YplaY
AS41704,RU,OGS-AS OJSC _Ufanet_
AS43532,GB,ALPARIUK-ASN Alpari (UK) Limited
AS34555,GB,CCS-LEEDS-ASN C.C.S. (Leeds) Ltd
AS7557,KR,KTNET-AS Korea Trade Network
AS43908,RU,PSV-AS JSC Pursvyaz
AS37405,NG,UNIV-NG-NSUKKA
AS44751,RU,KZN-KORSTON-AS LLC Korston-Kazan
AS40010,US,CPS-SALEM-NH - Chase Paymentech Solutions, LLC
AS22178,US,PA-SENATE - Senate of Pennsylvania
AS46231,US,OMNICITY - Omnicity, Inc.
AS38193,PK,TWA-AS-AP Transworld Associates (Pvt.) Ltd.
AS23778,JP,CANET IMIZU CABLE NETWORK CO.,LTD.
AS3363,HK,HKUST-AS-HK Hong Kong University of Science and Technology
AS19581,US,DALLAS-COUNTY - DALLAS COUNTY SCHOOLS
AS15082,US,VAZIONET - Vazio Network Services, LLC
AS41349,RU,MVMTECH-AS Limited Liability Company MVM Technology
AS19976,US,REALPAGE-STARFIRE - Real Page, Inc.
AS22992,US,SECUREWORKS - SecureWorks Inc.
AS18530,US,ISOMEDIA-1 - Isomedia, Inc.
AS1531,US,DNIC-AS-01531 - Headquarters, USAISC
AS31127,SK,SATRO Satro, s.r.o.
AS32282,US,CVNS48334 - COVANSYS
AS35032,RU,TAHIONISP-AS LLC SIP _NIS_
AS50593,BY,TRANSTELECOM-AS JSC _Transtelecom_
AS2714,US,GSA-GOV - General Services Administration
AS46051,ID,CITRA-AS-ID PT JEMBATAN CITRA NUSANTARA
AS38951,RU,TKT-AS JSC TKT
AS53016,BR,Governo do Estado do Par\195\161
AS7020,ZA,QDATA-AS
AS15582,RU,AKADO-STOLITSA-AS _AKADO-Stolitsa_ JSC
AS5656,US,ACCESSUS-DOM - accessU.S./BASENet
AS22671,US,AAAS - American Association for the Advancement of Science
AS27552,US,TWDX TOWARDEX Carrier Services IP TRANSIT BACKBONE
AS39435,RU,EVOLGOGRAD-AS CJSC _ER-Telecom Holding_
AS45451,NP,UTL-NP-AS United Telecom Limited
AS21176,IT,ASN-SEMA Engineering IT S.p.A.
AS57494,RU,ADMAN-AS Krek Ltd.
AS14594,US,CONFLUENT - ConfluentASP
AS11452,US,MOUNT-SINAI - Mount Sinai School of Medicine
AS41512,RU,NPO-DESIGN-AS JSC _NPO Design_
AS17534,JP,NSK NSK Co.,Ltd.
AS23661,JP,CLARAONLINE CLARA ONLINE, Inc.
AS14709,PA,Telefonica Moviles Panama S.A.
AS21730,US,RRV-NET - Halstad Telephone Company
AS9761,KR,KUMHO-AS Asiana Airlines
AS15974,RU,VTT-AS JSC _Volgatranstelecom_
AS13424,CL,Intercity
AS45261,AU,EATDATA-AP East Australia Transit and Data
AS15467,HU,ENTERNET-LIBERCOM-AS Enternet 2001 Ltd., Hungary
AS57657,HU,NICOM-AS Nicom Wireless Kft.
AS45684,JP,MIRAINET Kyocera Communication Systems Co., Ltd.
AS20704,AT,FUNKNETZ-AS www.funknetz.at GmbH
AS28668,BR,SILVA & SILVEIRA S/C LTDA - ME
AS16117,SE,GAVLENET se.gavlenet Autonomous System
AS34060,RO,TCCFR-AS SC Telecomunicatii CFR SA
AS9085,PL,SUPERMEDIA-AS SUPERMEDIA Sp.z.o.o.
AS30745,RU,SITENETWORK-AS Site LLC
AS50538,RU,PETROS OOO _Petrosvyaz_
AS39939,US,SKYBEAM-39939 - JAB Wireless, INC.
AS28521,MX,Comunicaciones Nextel de Mexico, S.A. de C.V.
AS56744,EU,PANDA-AS PANDA IMPORT SRL
AS11198,US,APC - American Power Conversion
AS9499,AU,BIGAIR-AU BigAir Group,
AS36870,EG,IT-WORX
AS41190,RU,IDEATELECOM Idea Telecom CJSC
AS19232,ZA,MONASH-ZA
AS13304,RU,SURGUTTEL-AS Net By Net Holding LLC
AS25334,RO,AVASYS S.C. Avasys Intelligent Solutions S.R.L.
AS693,US,NOTRE-DAME-AS - University of Notre Dame
AS33191,US,IMEDGE - IMedge, LLC
AS21040,CH,DATAPARK Datapark AG
AS20049,US,LINKEDIN - LinkedIn Corporation
AS8818,GL,TELE Greenland
AS7265,US,WOW-INTERNET - WideOpenWest Finance LLC
AS27206,US,ADPSIS-AS - ADP BROKERAGE INFORMATION SERVICE
AS15084,US,CONVERGYS - Convergys Corp.
AS34430,NL,QORE-AS Connect Data Solutions AS
AS9075,ES,RECOLETOS Recoletos Compania Editorial
AS4492,US,COMMSPEED1 - CommSpeed LLC
AS26925,US,SMARTCITY-DCCC - Smart City Networks, L.P.
AS53264,US,CDC-LMB1 - Continuum Data Centers, LLC.
AS11342,CA,PATHWAY - Pathway Communications
AS32035,US,CCDT-AS - Telekenex Inc
AS54627,US,SWEETWATER-TV - Sweetwater Television Company
AS54049,US,HIPAAS - Hipaa Networks LLC
AS55499,HK,PHONOPIANET-HK Phonopia Limited
AS22213,US,SALK-AS - Salk Institute
AS30362,US,HPT-ASN - Hawaii Pacific Teleport LP
AS32869,US,SILVERSTAR-NET - Silver Star Telecom, LLC
AS12103,US,KEYNOTE - Keynote Systems, Inc.
AS12069,US,REV-NET-TECHNOLOGIES - Rev.Net Technologies
AS19072,US,OFFICEMAX - OfficeMax
AS8622,GB,ISIONUK Namesco Limited
AS28831,IT,PHOENIX-AS Phoenix Informatica srl
AS8351,DE,PLANET-DE AS for PLANET IC GmbH
AS49559,UA,KHERSON-TS Kherson Telecommunication Systems Ltd.
AS9092,CH,OPENSYSTEMS-AS Open Systems AG
AS16559,US,REALCONNECT-01 - RealConnect, Inc
AS55243,US,CEDARNET - Cedar Wireless, Inc.
AS41787,RU,CG-AS ComGate Ltd.
AS6056,US,COLBY - Colby College
AS4730,JP,ODINS Osaka University
AS39084,UA,UTKC SBA Dubrovskiy
AS15988,GB,AKHTERNET Akhter Computers Ltd.
AS44,US,S1-DOMAIN - Lawrence Livermore National Laboratory
AS29526,RU,RRC-AS Federal State Educational Institution of Higher Professional Education _Saratov state Socio-Economic University_
AS50935,RO,VERTICALNET Vertical Concept SRL
AS17825,IN,MAHINDRABT-AS-AP Tech Mahindra Ltd. Software Development Organisation India
AS4855,ID,PI-ID-AS-AP Pacific Link Indonesia
AS12657,DE,BAYCIX BayCIX GmbH
AS9353,JP,MEDIAWARS MEDIAWARS co.,ltd.
AS11269,BM,CW-BERMUDA-AS Dummy object for CW-Bermuda
AS23329,US,AS-OPENACCESS - Open Access Inc.
AS22970,US,MAINETECHCOLLEGESYS - Maine Technical College System
AS3268,CY,CYNET
AS27940,AR,Cooperativa Colonia Caroya
AS17226,US,ATT-CERFNET-BLOCK - AT&T Enhanced Network Services
AS4581,US,SOCKET - Socket Internet Services Corporation
AS36213,US,DWASKG - DreamWorks Animation SKG, Inc.
AS39839,DK,DK-HOSTMASTER DK Hostmaster A/S
AS35158,DK,DANSKNET Dansk Net A/S
AS7315,CO,COLOMBIA TELECOMUNICACIONES S.A. ESP
AS44558,TR,NETHOUSE Nethouse Bilgi Islem Merkezi Ltd
AS32632,US,VAULT-NETWORKS - Vault Networks, Inc.
AS43712,RU,OPENSYSTEMS-AS Open Systems Ltd.
AS24954,FR,HAVAS HAVAS S.A.
AS32948,US,LLS-HO-AS - LEUKEMIA & LYMPHOMA SOCIETY
AS33310,US,GLORB - Glorb Internet Services
AS38462,JP,BEACONNC-AS-AP BeaconNC, Inc.
AS3585,US,AS3585 - Tyco Electronics Corporation
AS16793,US,DATA-TRONICS - Data-Tronics Corp
AS19391,US,BAJAU-CO-NM-TX - Baja Broadband
AS53949,US,BCT-AS1 - Benton Cooperative Telephone Company
AS38669,KR,CNBTV-AS-KR ChungNam Broadcastin Co.
AS17151,US,VONAGE - Vonage Holdings, Inc.
AS16598,CA,BCAA-AS - BCAA
AS38155,ID,AUDIANET-AS-ID Audianet Sentra Data, PT
AS36430,US,SERVEPATH-ANYCAST - GoGrid, LLC
AS19181,US,CWIE - CWIE LLC
AS7651,HK,LINGNAN-AS-AP Lingnan University
AS15094,US,KNOW-TECHNOLOGY - Know Technology, LLC
AS17597,KR,SAEROMNET-AS-KR TBROAD Saerom Broadcasting
AS30373,US,BUSINESSONLYBROADBANDLLC - Business Only Broadband
AS38182,MY,EXTREMEBB-AS-MY Extreme Broadband - Total Broadband Experience
AS16333,MK,ONNET-AS-OWN ONE Telecommunications Services DOOEL Skopje
AS55806,IN,VIVACOMM-IN M/s VIVA COmmunications
AS18977,US,MAIN - Reliable-ISP
AS26265,US,H3NET - Hypercube LLC
AS8008,US,ETC-60-AS - ENHANCED TELECOMMUNICATIONS CORP.
AS51734,UA,ONEGB-AS 1GB LLC
AS10517,US,MELLONBANK - Mellon Bank
AS32408,US,SMHCOLOCATION - SMH Colocation
AS35980,US,NAS-AS - NAS Recruitment Communications
AS56566,CZ,SATT-AS Satt a.s.
AS46672,US,COLO5 - Colo5, LLC
AS15607,IT,BANCA CARIGE S.p.A.
AS39574,SK,MINET-AS Minet s.r.o.
AS19675,US,VCS-AS - Virtacore Systems Inc
AS55262,US,GRIZZLY-INTERNET-INC - Grizzly Internet, Inc
AS24751,FI,MULTIFI-AS Jakobstadsnejdens Telefon Ab
AS52559,BR,Novatec Telecom Ltda ME
AS26096,US,LODDEN - Lodden Services
AS43250,UA,ASINTERTAX INTERTAX Ltd.
AS30295,CA,2ICSYSTEMSINC - 2iC Systems Inc.
AS4749,AU,WISETECHGLOBAL-AU-SYD WiseTechGlobal Pty Ltd
AS48515,RU,PRAKTIKA-AS Praktika Ltd.
AS13783,US,RADFORD-UNIV-AS - Radford University
AS40829,US,ALAS-CHI - Attorneys_ Liability Assurance Society, Inc.
AS48539,NL,OXILION-AS Oxilion B.V.
AS5470,GR,ASAUTHNET Aristotle University of Thessaloniki
AS30507,CA,GLWIZ - Gold Line Telemanagement, Inc.
AS14976,US,SMART-CITY-DENVER - Smart City Networks, L.P.
AS25160,GB,VORBOSS_AS Vorboss Limited
AS27774,HT,Haiti Networking Group S.A.
AS5469,FI,AGNET Ahlstrom Corporation
AS1747,US,IBMWATSON-AS - IBM T.J. Watson Research Center
AS28283,BR,Adylnet Telecom
AS47577,RU,IXBT-AS Righthosting Ltd
AS42596,DE,ANTILO-AS net-and-phone GmbH
AS53199,BR,The Center Informatica Ltda
AS22883,US,CONDENAST - CondeNast Publications
AS6820,RU,LEIVO LEIVO Ltd.
AS36368,US,OBERLIN-COLLEGE - Oberlin College
AS18937,US,NMC - National Monitoring Center
AS11228,US,ARINC - ARINC, Inc.
AS24756,PL,LUKAS-BANK-AS Lukas Bank
AS24671,PL,PILICKA-AS MNI Telecom S.A.
AS13091,RS,PTT-SRBIJA-NET PTTSRBIJANET
AS27431,US,JTLNET - JTL Networks Inc.
AS33991,RU,SKALA-AS Company Skala, Ltd
AS13851,CA,SEVENL - SevenL Networks
AS51539,IQ,ASN-AUIS-NET The American University of Iraq-Sulaimani
AS25387,SE,ASN-GOTEBORG Goteborgs Stad
AS19479,US,CERVALIS - CERVALIS LLC
AS52226,CL,CODELCO Chuquicamata
AS32955,US,MURCOM - MURCOM, LLC
AS53695,US,SIUE - Southern Illinois University at Edwardsville
AS6245,US,NETWORK-SOLUTIONS - InterNIC Registration Services
AS15298,US,LSB-INDUSTRIES-INC - LSB Industries, Inc.
AS6171,CA,WORLDGATE - WorldGate
AS38835,AU,VIAIP-AS-AP Via IP
AS48608,IR,MELLAT-AS Mellat Insurance Public Joint Stock Company
AS47885,HU,HOSTOFFICE-AS Invitel Tavkozlesi Zrt.
AS17950,JP,SAINET-AS SaiNet
AS23817,JP,KOCHI-IDC FUJITSU SHIKOKU Systems Limited.
AS47631,GB,SIPCOM-NET1 SIP Communications PLC
AS61332,RS,SCPEXIM ASSECO SEE d.o.o
AS19496,US,SBCASI-AKRON-OH-COVLIL - AT&T Internet Services
AS9259,HK,WEBHOST-AS-AP Web Host Limited
AS26561,US,BLUEWATER-DR - BlueWater Communications Group
AS47038,US,DMCI-BROADBAND - DMCI Broadband, LLC.
AS22647,US,ELLTEL - Fairpoint Communications
AS13389,US,AZUKI - AZUKI, LLC
AS32152,US,CCNBI-AS1 - CCNBI, Inc
AS29650,IE,HOSTING365-AS Sungard Availability Services (Ireland) Ltd.
AS41589,LU,SIDUS-AS SIDUS S.A.R.L.
AS34595,TR,GLOBAL-AS2 Global Germany
AS8304,FR,ECRITEL-FRANCE ECRITEL Company
AS11878,US,TZULO - tzulo, inc.
AS21453,RU,FLEX-AS Flex Ltd
AS9877,SG,NGEEANN-POLY-AS-AP Ngee Ann Polytechnic Computer Center
AS49826,FI,FSP-AS FSP Net
AS36930,TZ,Zantel-AS
AS23627,JP,UCVNET UEDA CABLE VISION CO.,LTD.
AS46930,US,ASN-DPSD - Denver Public Schools
AS9502,HK,OOCL-HKG-AP Hong Kong Headquarters
AS49387,BG,SPRINGS-NET SPRINGS-NET
AS47720,IE,CIX-AS Chip Electronic Services Limited
AS10962,US,SMS-CORP-ASN - Siemens Medical Solutions Health Services Corporation
AS9955,KR,CHEONAN-AS-KR 115, Anseo-dong 330-704
AS44340,UA,UNDERGROUND-AS Underground LLC
AS7142,US,AZSTARNET - TUCSON NEWSPAPERS
AS21111,PL,CISG Ministerstwo Gospodarki
AS12773,UA,SONIKO-AS Teleradiocompany Soniko-Svyaz Ltd
AS14280,CA,NETNATION-NETWORK NetNation Communications Inc.
AS19963,US,DOSUB-1 - Dutchess County BOCES
AS25979,US,COMDC-WI - CITY OF MADISON
AS7665,JP,OKIX Okayama Prefectural Government
AS556,06,2010-07-21 |
AS45425,AU,DEDICATED-SERVERS-SYD-AS-AP Dedicated Servers - Sydney
AS16729,CA,AS16729 - Royal Bank of Canada
AS29684,SA,NOURNET-ASN Nour Communication Co.Ltd - Nournet
AS8163,CO,METROTEL REDES S.A.
AS24543,AU,FIRSTDATA-AS-AU AS FIRST DATA ELECTRONIC tRANSACTION PROCESSOR SYDNEY
AS6778,PL,BPTNET-AS BPT Telbank S.A.
AS40694,US,KDDI-GLOBAL - KDDI Global, L.L.C.
AS48687,RU,PRUDOK-AS Noviton Ltd
AS27797,AR,IBM Argentina S.A.
AS57547,SK,ASALTERNET Alternet s.r.o.
AS44138,SA,ANB-ASN Arab National Bank Saudi Stock Co
AS8571,IR,PARDIS Pardis Ettela Resaan Sepehr
AS14014,CA,CNRAIL-AS - Canadian National Railway
AS1254,US,NASA-LARC-AS - National Aeronautics and Space Administration
AS6579,CA,MEMORIALU - Memorial University of Newfoundland
AS23372,US,IDCGLOBAL - IDC Global Networks Inc.
AS14134,US,NAVISITE-WEST-2 - Navisite, Inc.
AS25077,NL,BMG Bank Mendes Gans NV
AS47869,NL,NETROUTING-AS Netrouting
